name,price,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,class_Desktop,class_Laptop,class_Server,brand_Amd,brand_Intel
Ryzen 7 4700G,,AM4 ,3.6,4.4,16,8,65,21167,2796,1,0,0,1,0
EPYC 7262,623.54,SP3 ,3.2,3.4,16,8,155,21127,1935,0,0,1,1,0
Core i9-10900F ,419.99,FCLGA1200 ,2.8,5.2,20,10,65,21081,3096,1,0,0,0,1
Xeon E5-2696 v4 ,3179.0,FCLGA2011-3 ,2.2,3.6,44,22,145,21031,1787,0,0,1,0,1
Xeon W-2155 ,1530.39,FCLGA2066 ,3.3,4.5,20,10,140,20887,2649,0,0,1,0,1
Ryzen Threadripper 2990X,,TR4 ,3.4,4.2,64,32,250,20885,2372,1,0,0,1,0
Ryzen 7 PRO 4700G,,AM4 ,3.6,4.4,16,8,65,20848,2700,1,0,0,1,0
EPYC 7451,2429.0,SP3 ,2.3,3.2,48,24,180,20738,2078,0,0,1,1,0
Ryzen 7 4700GE,,AM4 ,3.1,4.3,16,8,35,20671,2737,1,0,0,1,0
Xeon E5-2699 v3 ,922.68,LGA2011-v3 ,2.3,3.6,36,18,145,20545,1956,0,0,1,0,1
Core i9-9820X ,536.0,FCLGA2066 ,3.3,4.2,20,10,165,20513,2421,1,0,0,0,1
Ryzen 7 PRO 4750GE,,AM4 ,3.1,4.3,16,8,35,20456,2737,1,0,0,1,0
Xeon E5-2696 v3 ,2498.0,LGA2011-v3 ,2.3,3.6,36,18,nan,20305,1778,0,0,1,0,1
Xeon W-2150B ,,FCLGA2066 ,3.0,4.5,20,10,nan,20236,2554,0,0,1,0,1
Ryzen 9 4900HS,,FP6 ,3.0,4.3,16,8,35,19829,2669,0,1,0,1,0
Xeon E5-2697 v4 ,3162.13,FCLGA2011-3 ,2.3,3.6,36,18,145,19820,1820,0,0,1,0,1
Xeon Gold 6226 ,1886.96,FCLGA3647 ,2.7,3.7,24,12,125,19810,2104,0,0,1,0,1
Xeon W-1270 ,362.0,FCLGA1200 ,3.4,5.0,16,8,80,19704,3032,0,0,1,0,1
Core i7-10700K ,359.99,FCLGA1200 ,3.8,5.1,16,8,125,19670,3088,1,0,0,0,1
