name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score,brand
Ryzen 9 3900X,439.99,Desktop,AM4 ,3.8,4.6,24,12,105,32862,2731,Amd
EPYC 7302P,1128.52,Server,SP3 ,3.0,3.3,32,16,155,32818,1833,Amd
Xeon W-2295 ,1333.0,Server,FCLGA2066 ,3.0,4.8,36,18,165,32060,2754,Intel
Ryzen Threadripper 2990WX,1799.0,Desktop,sTR4 ,3.0,4.2,64,32,250,31991,2318,Amd
Core i9-9990XE ,,Desktop,LGA2066 ,4.0,5.0,28,14,255,31941,3104,Intel
Core i9-9980XE ,1049.0,Desktop,FCLGA2066 ,3.0,4.5,36,18,165,31888,2566,Intel
Xeon W-3175X ,3062.5,Desktop,FCLGA3647 ,3.1,3.8,56,28,255,31814,2126,Intel
Ryzen 9 PRO 3900,,Desktop,AM4 ,3.1,4.3,24,12,65,31800,2637,Amd
Xeon Gold 6248 ,3304.99,Server,FCLGA3647 ,2.5,3.9,40,20,150,31285,2326,Intel
Core i9-9960X ,859.07,Desktop,FCLGA2066 ,3.1,4.4,32,16,165,31274,2690,Intel
Ryzen 9 3900,,Desktop,AM4 ,3.1,4.3,24,12,65,30863,2647,Amd
Xeon Gold 6246R ,3497.47,Server,FCLGA3647 ,3.4,4.1,32,16,205,30485,2389,Intel
Xeon W-3245 ,2282.48,Server,FCLGA3647 ,3.2,4.4,32,16,205,30300,2541,Intel
Xeon Platinum 8259CL ,,Server,LGA 3647 ,2.5,3.5,48,24,210,30250,1859,Intel
Ryzen Threadripper 2950X,589.99,Desktop,sTR4 ,3.5,4.4,32,16,180,30194,2482,Amd
Xeon W-3265 ,4551.37,Server,FCLGA3647 ,2.7,4.4,48,24,205,30105,2572,Intel
Xeon Platinum 8268 ,6005.98,Server,FCLGA3647 ,2.9,3.9,48,24,205,30103,2167,Intel
Core i9-7980XE ,2345.33,Desktop,FCLGA2066 ,2.6,4.2,36,18,165,29805,2501,Intel
Core i9-10940X ,829.99,Desktop,FCLGA2066 ,3.3,4.8,28,14,165,29780,2734,Intel
Xeon Gold 6254 ,3619.95,Server,FCLGA3647 ,3.1,4.0,36,18,200,29356,2381,Intel
Ryzen 7 5800X,449.99,Desktop,AM4 ,3.8,4.7,16,8,105,28589,3462,Amd
EPYC 7371,1808.99,Server,SP3 ,3.1,3.8,32,16,nan,28356,2419,Amd
Core i9-9940X ,759.96,Desktop,FCLGA2066 ,3.3,4.5,28,14,165,28266,2625,Intel
Ryzen Threadripper 2970WX,1037.85,Desktop,sTR4 ,3.0,4.2,48,24,250,28071,2292,Amd
Xeon Gold 6238 ,2612.0,Server,FCLGA3647 ,2.1,3.7,44,22,140,27617,1691,Intel
Xeon Gold 6212U ,2000.0,Server,FCLGA3647 ,2.4,3.9,48,24,165,27470,2013,Intel
EPYC 7571,,Server,SP3 ,2.1,2.9,64,32,120,27445,1934,Amd
Xeon Platinum 8173M ,,Server,FCLGA3647 ,2.0,3.5,56,28,165,27377,2123,Intel
Xeon Gold 6210U ,2059.86,Server,FCLGA3647 ,2.5,3.9,40,20,150,27131,2295,Intel
Core i9-7960X ,1600.0,Desktop,FCLGA2066 ,2.8,4.2,32,16,165,26959,2580,Intel
Core i9-7940X ,1489.95,Desktop,FCLGA2066 ,3.1,4.3,28,14,165,26855,2528,Intel
Xeon Gold 6208U ,989.0,Server,FCLGA3647 ,2.9,3.9,32,16,150,26677,2325,Intel
Xeon Platinum 8175M ,,Server,FCLGA3647 ,2.5,,48,24,nan,26659,1903,Intel
Ryzen Threadripper 1950X,800.9,Desktop,sTR4 ,3.4,4.0,32,16,180,26539,2281,Amd
EPYC 7272,684.86,Server,SP3 ,2.9,3.2,24,12,120,26454,2019,Amd
EPYC 7401P,980.0,Server,SP3 ,2.0,3.0,48,24,155,26392,1795,Amd
Core i9-10920X ,699.99,Desktop,FCLGA2066 ,3.5,4.8,24,12,165,26349,2731,Intel
Xeon Gold 6154 ,3659.82,Server,FCLGA3647 ,3.0,3.7,36,18,200,26298,2249,Intel
EPYC 7551P,1166.6,Server,SP3 ,2.0,3.0,64,32,180,25933,1611,Amd
Xeon Gold 5220 ,1639.95,Server,FCLGA3647 ,2.2,3.9,36,18,125,25740,2396,Intel
Ryzen Threadripper 2920X,709.99,Desktop,sTR4 ,3.5,4.3,24,12,180,25687,2496,Amd
Xeon W-2265 ,944.0,Server,FCLGA2066 ,3.5,4.6,24,12,165,25531,2869,Intel
Xeon Platinum 8124M ,,Server,FCLGA3647 ,3.0,3.5,36,18,nan,25456,2084,Intel
Core i9-9920X ,650.0,Desktop,FCLGA2066 ,3.5,4.5,24,12,165,25352,2655,Intel
EPYC 7501,3066.34,Server,SP3 ,2.0,3.0,64,32,155,24925,1925,Amd
Xeon Gold 6138T ,2742.0,Server,FCLGA3647 ,2.0,3.7,40,20,125,24800,2050,Intel
Xeon Gold 6143 ,,Server,FCLGA3647 ,2.8,4.0,32,16,205,24786,2248,Intel
Xeon W-3235 ,1463.45,Server,FCLGA3647 ,3.3,4.5,24,12,180,24592,2518,Intel
Xeon Gold 6246 ,3315.49,Server,FCLGA3647 ,3.3,4.2,24,12,165,24446,2450,Intel
EPYC 7551,1651.21,Server,SP3 ,2.0,3.0,64,32,180,24320,1842,Amd
Core i9-10900K ,579.0,Desktop,FCLGA1200 ,3.7,5.3,20,10,125,24269,3178,Intel
