name,price,Class,Socket,Clockspeed,Turbo Speed,Threads,Cores,Typical TDP,mt_score,st_score
AMD Ryzen 7 4800HS,NA,Laptop,FP6 ,2.9,4.2,16 ,8,45W3,19039,2637
Intel Xeon E5-2697A v4 @ 2.60GHz,NA,Server,FCLGA2011-3 ,2.6,3.6,32 ,16,145W,18996,2184
Intel Xeon E5-2676 v4 @ 2.40GHz,NA,Server,FCLGA2011-3 ,2.4,3.0,32 ,16,145W,18978,1730
AMD Ryzen 5 3600XT,$347.00,Desktop,AM4 ,3.8,4.5,12 ,6,95W,18929,2810
Intel Core i9-9900KF @ 3.60GHz,$329.99,Desktop,FCLGA1151-2 ,3.6,5.0,16 ,8,95W,18924,3005
Intel Core i9-9900K @ 3.60GHz,$357.46,Desktop,FCLGA1151-2 ,3.6,5.0,16 ,8,95W,18871,2978
Intel Xeon D-2187NT @ 2.00GHz,"$1,989.00*",Server,FCBGA2518 ,2.0,3.0,32 ,16,110W,18727,1763
Intel Xeon Gold 6144 @ 3.50GHz,"$3,181.17*",Server,FCLGA3647 ,3.5,4.2,16 ,8,150W,18656,2523
Intel Xeon Gold 6130 @ 2.10GHz,"$1,813.95",Server,FCLGA3647 ,2.1,3.7,32 ,16,125W,18634,1859
Intel Xeon Silver 4216 @ 2.10GHz,$930.23,Server,FCLGA3647 ,2.1,3.2,32 ,16,100W,18561,1667
Intel Xeon E5-2680 v4 @ 2.40GHz,$598.99,Server,FCLGA2011-3 ,2.4,3.3,28 ,14,120W,18424,1947
Intel Xeon D-2183IT @ 2.20GHz,"$1,764.00*",Server,FCBGA2518 ,2.2,3.0,32 ,16,100W,18385,1728
Intel Xeon E5-2697 v3 @ 2.60GHz,$632.99,Server,LGA2011-v3 ,2.6,3.6,28 ,14,145W,18362,1966
Intel Xeon W-2145 @ 3.70GHz,"$1,471.99*",Server,FCLGA2066 ,3.7,4.5,16 ,8,140W,18339,2643
AMD Ryzen 5 3600X,$403.46,Desktop,AM4 ,3.8,4.4,12 ,6,95W,18333,2678
AMD Ryzen 7 Extreme Edition,NA,Laptop,FP6 ,1.8,4.2,16 ,8,,18284,2677
Intel Core i7-9800X @ 3.80GHz,$449.95,Desktop,FCLGA2066 ,3.8,4.5,16 ,8,165W,18281,2638
Intel Xeon W-1270P @ 3.80GHz,$428.00*,Server,FCLGA1200 ,3.8,5.1,16 ,8,95W,18079,3104
Intel Xeon E5-2683 v4 @ 2.10GHz,$499.00*,Server,FCLGA2011-3 ,2.1,3.0,32 ,16,120W,18017,1673
AMD Ryzen 5 PRO 3600,NA,Desktop,AM4 ,3.6,,12 ,6,65W,17985,2601
AMD Ryzen 5 3600,$317.98,Desktop,AM4 ,3.6,4.2,12 ,6,65W,17865,2585
Intel Xeon E5-2687W v4 @ 3.00GHz,"$2,174.99*",Server,FCLGA2011-3 ,3.0,3.5,24 ,12,160W,17791,2130
Intel Xeon E5-2686 v3 @ 2.00GHz,NA,Server,LGA2011-v3 ,2.0,3.5,36 ,18,120W,17678,1862
Intel Xeon E5-2690 v4 @ 2.60GHz,$534.72*,Server,FCLGA2011-3 ,2.6,3.5,28 ,14,135W,17678,2072
AMD Ryzen 7 2700X,$289.99,Desktop,AM4 ,3.7,4.3,16 ,8,105W,17595,2438
Intel Xeon Gold 5120T @ 2.20GHz,"$1,727.00*",Server,FCLGA3647 ,2.2,3.2,28 ,14,105W,17540,1827
Intel Xeon E5-2673 v4 @ 2.30GHz,"$1,950.00*",Server,FCLGA2011-3 ,2.3,3.3,40 ,20,135W,17533,1909
Intel Core i7-10700 @ 2.90GHz,$349.99,Desktop,FCLGA1200 ,2.9,4.8,16 ,8,65W,17476,2936
Intel Core i7-7820X @ 3.60GHz,$913.92*,Desktop,FCLGA2066 ,3.6,4.3,16 ,8,140W,17450,2548
Intel Core i7-6950X @ 3.00GHz,$939.99,Desktop,LGA2011-v3 ,3.0,4.0,20 ,10,140W,17423,2400
Intel Xeon W-10885M @ 2.40GHz,$623.00*,,FCBGA1440 ,2.4,5.3,16 ,8,45W3,17401,3000
Intel Xeon E-2278G @ 3.40GHz,$494.00*,Server,FCLGA1151-2 ,3.4,5.0,16 ,8,80W,17386,3041
Intel Xeon W-2140B @ 3.20GHz,NA,Server,FCLGA2066 ,3.2,4.2,16 ,8,,17313,2519
AMD Ryzen 7 4800U,NA,Laptop,FP6 ,1.8,4.2,16 ,8,15W3,17240,2599
Intel Xeon E-2278GE @ 3.30GHz,$494.00*,Server,FCLGA1151-2 ,3.3,4.7,16 ,8,80W,17210,2754
AMD Ryzen 5 4600G,NA,Desktop,AM4 ,3.7,4.2,12 ,6,65W3,17197,2707
Intel Core i9-9900 @ 3.10GHz,$396.95,Desktop,FCLGA1151-2 ,3.1,5.0,16 ,8,65W,17174,2897
Intel Xeon E5-2658 @ 2.10GHz,"$1,462.00*",Server,LGA2011 ,2.1,2.4,16 ,8,95W,6073,1156
AMD Opteron 6344,$379.00*,Server,,2.6,3.2,1,1,115W,6069,1231
Intel Core i5-6600 @ 3.30GHz,$262.13*,Desktop,LGA 1151 ,3.3,3.9,4 ,4,65W,6061,2261
Intel Core i5-8250U @ 1.60GHz,NA,Laptop, FC-BGA1356 ,1.6,3.4,8 ,4,15W3,6054,1979
Intel Xeon E3-1220 v6 @ 3.00GHz,$214.97,Server,FCLGA1151 ,3.0,3.5,4 ,4,72W,6048,2072
Intel Core i7-4900MQ @ 2.80GHz,$586.67*,Laptop,FCPGA946 ,2.8,3.8,8 ,4,47W,6042,1970
AMD FX-9370 Eight-Core,$619.00*,Desktop,AM3+ ,4.4,4.7,8,8,220W,6026,1681
Intel Xeon E3-1265L v3 @ 2.50GHz,$699.95,Server,FCLGA1150 ,2.5,3.7,8 ,4,45W,6019,2005
Intel Core i7-5700HQ @ 2.70GHz,NA,Laptop,FCBGA1364 ,2.7,3.5,8 ,4,47W,5996,2007
Intel Core i5-8265UC @ 1.60GHz,NA,Laptop,FCBGA1528 ,1.6,3.9,8 ,4,,5988,2200
Intel Core i7-8550U @ 1.80GHz,NA,Laptop,FC-BGA1356 ,1.8,4.0,8 ,4,15W3,5986,2094
Intel Xeon E5-2609 v4 @ 1.70GHz,$359.73*,Server,FCLGA2011-3 ,1.7,,8 ,8,85W,5974,1078
Intel Core i5-7600T @ 2.80GHz,$280.55*,Desktop,FCLGA1151 ,2.8,3.7,4 ,4,35W,5961,2247
Intel Core i7-4770T @ 2.50GHz,$399.99*,Desktop,LGA1150 ,2.5,3.7,8 ,4,45W,5957,2074
Intel Core i7-3920XM @ 2.90GHz,"$1,096.00*",Laptop,FCPGA988 ,2.9,3.8,8 ,4,55W,5953,2039
Intel Xeon E3-1275L v3 @ 2.70GHz,NA,Server,LGA1150 ,2.7,3.9,8 ,4,45W,5949,2065
Intel Xeon D-1521 @ 2.40GHz,NA,Server,FCBGA1667 ,2.4,2.7,8 ,4,45W,5931,1693
Intel Core i7-4800MQ @ 2.70GHz,$194.10*,Laptop,rPGA946B ,2.7,3.7,8 ,4,47W,5930,1977
Intel Xeon E5-2650L @ 1.80GHz,$209.95*,Server,LGA 2011 ,1.8,2.3,16 ,8,70W,5929,1091
AMD FX-8350 Eight-Core,$228.53,Desktop,AM3+ ,4.0,4.2,8,8,125W,5925,1567
Intel Core i5-5675C @ 3.10GHz,$309.95*,Desktop,FCLGA1150 ,3.1,3.6,4 ,4,65W,5910,2258
AMD Ryzen 3 PRO 2300U,NA,Laptop,FP5 ,2.0,3.4,4 ,4,15W3,5908,1843
Intel Core i5-5675R @ 3.10GHz,NA,Desktop,FCBGA1364 ,3.1,3.6,4 ,4,65W,5906,2227
Intel Core i7-5700EQ @ 2.60GHz,NA,Laptop,FCBGA1364 ,2.6,3.4,8 ,4,47W,5905,2124
Intel Xeon E3-1225 v5 @ 3.30GHz,$237.36,Server,FCLGA1151 ,3.3,3.7,4 ,4,80W,5903,2053
Intel Core i7-3840QM @ 2.80GHz,$399.00*,Laptop,rPGA988B ,2.8,3.8,8 ,4,45W,5899,1918
AMD Opteron 6378,$99.99,Server,G34 ,2.4,3.3,1,1,115W,5889,1127
Intel Xeon E3-1240L v5 @ 2.10GHz,$278.00*,Server,FCLGA1151 ,2.1,3.2,8 ,4,25W,5880,1893
Intel Xeon E5-1620 @ 3.60GHz,$320.00,Server,LGA2011 ,3.6,3.8,8 ,4,130W,5874,1770
Intel Core i7-3820 @ 3.60GHz,$299.99*,Desktop,LGA2011 ,3.6,3.8,8 ,4,130W,5869,1778
Intel Xeon X5650 @ 2.67GHz,$108.02,Server,LGA1366 ,2.7,3.1,12 ,6,95W,5858,1303
Intel Xeon E5-1410 v2 @ 2.80GHz,$19.20,Server,LGA 1356 ,2.8,3.2,8 ,4,80W,5842,1689
AMD Ryzen 3 3300U,NA,Laptop,FP5 ,2.1,3.5,4 ,4,15W3,5841,1874
Intel Core i3-8300T @ 3.20GHz,$153.35,Desktop,FCLGA1151-2 ,3.2,,4 ,4,25W,5827,2005
Intel Core i7-3940XM @ 3.00GHz,$609.95*,Laptop,rPGA988B ,3.0,3.9,8 ,4,55W,5797,1932
Intel Core i7-4710MQ @ 2.50GHz,$271.57*,Laptop,FCPGA946 ,2.5,3.5,8 ,4,47W,5796,1900
